Product Name,Sales,Cost,Units,Total_Profit,Gross_Margin_%,Profit_per_Unit,Cumulative_Profit,Cumulative_Profit_%
Wonka Bar -Scrumdiddlyumptious,27874.8,8517.3,7743,19357.5,69.44444444444444,2.5,19357.5,20.715881801487114
Wonka Bar - Triple Dazzle Caramel,28485.0,9874.8,7596,18610.2,65.33333333333333,2.45,37967.7,40.632023013009025
Wonka Bar - Milk Chocolate,26867.75,9424.38,8267,17443.370000000003,64.92307692307693,2.1100000000000003,55411.07,59.299453783491074
Wonka Bar - Nutty Crunch Surprise,23574.95,6755.0,6755,16819.95,71.34670487106017,2.49,72231.02,77.29971704615016
Wonka Bar - Fudge Mallows,24890.4,8296.8,6914,16593.600000000002,66.66666666666667,2.4000000000000004,88824.62000000001,95.05774655725214
Lickable Wallpaper,7860.0,3930.0,393,3930.0,50.0,10.0,92754.62000000001,99.26352806208719
Wonka Gum,597.5,286.8,478,310.7,52.0,0.65,93065.32,99.59603094085367
Everlasting Gobstopper,130.0,26.0,13,104.0,80.0,8.0,93169.32,99.7073289755872
Kazookles,1205.75,1113.0,371,92.75,7.6923076923076925,0.25,93262.07,99.80658755944813
Hair Toffee,76.5,17.0,17,59.5,77.77777777777779,3.5,93321.57,99.87026287739666
Fizzy Lifting Drinks,78.75,31.5,21,47.25,60.0,2.25,93368.82,99.92082857106166
Laffy Taffy,53.73,20.25,27,33.48,62.311557788944725,1.24,93402.3,99.95665797685857
SweeTARTS,61.5,32.8,41,28.7,46.666666666666664,0.7,93431.0,99.98737195375138
Nerds,15.0,8.0,10,7.0,46.666666666666664,0.7,93438.0,99.99486316762768
Fun Dip,12.0,7.2,8,4.8,40.0,0.6,93442.8,100.0
